00:02:59.029209 DCon01   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:02:59.029519 DCon01   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:02:59.033363 DCon01   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:02:59.042901 DCon07   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:59.046769 DCon07   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:02:59.062147 DCon09   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:02:59.531674 DCon09   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:59.535712 DCon09   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:03:02.835238 DCon06   Launched VM: 2281733696 pid: 7002 (0x1b5a) frontend: GUI/Qt name: arch mini
00:03:02.874117 DCon07   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:03.041723 DCon10   Platform architecture set to 'x86'
00:03:03.095423 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:03.553805 DCon09   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:03:03.644389 DCon01   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:03:03.655872 DCon01   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:03.815680 DCon01   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:03:03.816321 DCon01   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:03:03.817040 DCon01   HostDnsMonitorProxy::GetDomainName: lan
00:03:03.817099 DCon01   HostDnsMonitorProxy::GetNameServers:
00:03:03.817104 DCon01     name server 1: 8.8.8.8
00:03:03.817106 DCon01     name server 2: 181.213.132.2
00:03:03.817108 DCon01     name server 3: 181.213.132.3
00:03:03.817166 DCon01   HostDnsMonitorProxy::GetSearchStrings:
00:03:03.817171 DCon01     search string 1: lan
00:03:03.828884 DCon09   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:03:03.851572 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:03.921204 DCon11   Saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:03:03.925204 DCon11   Finished saving settings file "/home/vinicius/.config/VirtualBox/VirtualBox.xml"
00:03:04.135122 DCon11   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:04.139413 DCon11   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:04.144765 DCon09   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:06.753870 DCon07   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:06.757529 DCon07   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
00:03:06.762773 DCon09   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:03:07.256233 DCon09   Saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox" with version "1.19-linux"
00:03:07.260396 DCon09   Finished saving settings file "/home/vinicius/VirtualBox VMs/arch mini/arch mini.vbox"
